Index,TCOO,Cooling_Cost,Heating_Cost,Energy_Cost_Above_Threshold
61,23131.62,"308.39,425.31,753.8,618.35,1117.79,1645.1,1008.55,320.82,824.85,1283.96,325.9,854.63,226.92,224.33,443.3,661.44,472.2,746.51,753.17,645.95,456.91,556.94,357.23,256.21,344.06,677.9,719.65,1254.46,883.82,110.63",[],4
62,22534.97,"795.38,194.07,1018.41,430.8,135.1,156.18,518.03,274.16,374.72,385.05,381.26,1540.48,548.7,182.9,610.94,1154.15,370.04,302.56,961.28,1329.07,1180.87,216.62,1450.46,1142.91,1171.46,255.21,361.5,1007.68,1175.04,298.63",[],8
63,22434.67,"467.1,557.28,883.82,1366.2,691.22,232.07,325.95,860.29,684.88,113.86,353.55,1040.29,904.15,355.05,252.56,469.36,1283.72,1236.42,276.76,565.27,1136.67,752.52,281.22,499.7,154.36,112.34,516.17,579.69,141.43,1342.44",[],5
64,23899.04,"699.58,882.13,1478.75,508.65,580.8,504.01,649.17,1104.63,93.53,540.68,1368.0,741.96,1239.55,1016.25,613.61,356.11,432.03,554.41,323.87,716.14,450.87,1229.33,93.72,360.45,700.74,683.18,649.22,504.15,710.97,369.13",[],5
65,25073.13,"207.85,653.23,868.96,1104.29,382.08,825.28,754.08,1278.61,1061.95,1308.15,207.58,858.13,703.85,560.27,588.71,112.34,114.28,1641.88,799.65,949.5,126.4,715.86,965.25,1278.59,861.85,886.85,1078.68,867.95,146.21,945.06",[],7
66,22679.89,"1298.46,1184.98,925.48,96.57,791.75,189.66,742.65,429.71,960.5,246.02,397.43,579.29,98.01,296.1,376.51,780.95,260.78,265.38,772.51,881.15,1420.4,326.28,494.4,1151.92,602.88,142.03,825.28,920.45,288.51,1268.57",[],5
67,22507.89,"839.12,559.58,556.73,1363.16,966.17,400.49,249.9,1149.13,516.68,745.09,838.52,313.4,1079.65,432.48,518.81,239.18,803.31,284.6,1011.65,298.01,327.02,397.7,745.37,197.51,162.42,143.59,1301.05,224.22,380.64,1052.62",[],4
68,24449.8,"1198.03,361.61,1482.71,331.13,668.51,436.95,943.96,367.06,1273.57,621.09,368.78,841.29,203.63,1410.52,733.05,938.35,751.01,392.64,625.7,519.14,768.39,877.83,179.65,96.57,720.94,950.51,1283.96,1015.08,756.62,339.43",[],5
69,25135.1,"764.38,1433.12,772.2,841.51,890.86,449.54,409.12,401.36,701.23,1233.24,549.23,111.95,909.76,922.62,1700.3,1445.15,551.86,394.46,1083.61,394.04,640.55,827.03,273.3,254.05,208.88,1178.32,1043.47,671.99,331.92,881.15",[],6
70,24140.99,"1356.99,662.61,995.48,769.79,1129.81,960.67,1165.88,414.89,388.01,167.79,685.0,705.4,268.06,953.21,138.05,87.93,919.24,989.74,464.77,643.02,962.39,924.77,413.76,540.94,676.16,1049.21,278.11,813.75,185.28,777.06",[],3
71,23499.44,"347.13,792.65,1007.24,1359.26,442.11,393.31,611.75,1039.95,1043.36,699.12,977.31,510.61,400.44,384.24,893.96,382.52,626.09,190.28,381.16,1162.49,1044.54,556.54,284.88,566.07,395.11,842.49,138.64,653.1,960.66,808.89",[],2
72,21020.11,"862.01,849.39,656.29,286.21,669.81,129.69,583.98,174.27,753.8,439.45,747.97,977.75,424.18,716.14,445.26,312.11,204.16,455.65,239.92,687.11,291.4,978.72,105.54,1178.7,700.15,526.35,460.16,427.73,326.66,893.17",[],1
73,23390.53,"923.71,883.22,411.89,579.82,903.14,1020.53,971.43,424.51,947.43,272.92,704.13,667.58,325.89,460.78,1187.66,943.98,471.25,641.6,1123.35,656.27,603.57,550.09,501.69,903.14,870.76,193.0,378.69,283.8,324.8,187.59",[],2
74,25171.61,"1554.93,613.19,207.53,585.65,817.65,814.37,856.57,337.71,761.98,647.2,351.57,400.69,237.21,1592.32,356.9,1477.55,985.46,365.39,1113.64,1154.06,91.98,339.1,601.71,1118.12,712.67,1328.9,696.88,949.91,916.03,1286.82",[],8
75,21079.82,"1152.31,380.64,245.61,287.29,409.55,1000.05,167.48,484.88,310.19,296.07,1104.2,220.32,429.03,179.42,707.64,929.36,321.89,1007.68,1044.01,1370.53,447.68,271.74,100.19,670.47,362.46,358.13,655.36,441.65,511.47,1070.55",[],4
76,22973.32,"144.66,720.79,632.05,127.91,605.23,166.27,433.24,1700.3,90.3,1239.11,155.14,1097.17,687.52,246.0,836.77,821.72,308.96,296.55,1248.55,1570.56,605.36,1049.61,1114.56,767.8,283.8,832.72,511.58,311.72,1170.62,450.1",[],7
77,24587.81,"875.05,1049.55,1160.29,952.98,849.46,1364.56,437.58,1146.51,112.34,1636.86,358.22,112.77,111.95,433.39,822.8,404.44,648.39,752.51,771.82,404.78,1025.71,257.32,446.45,437.18,1167.27,551.67,553.97,605.91,424.14,1250.22",[],6
78,22919.69,"149.57,483.61,516.67,180.29,1167.72,192.58,388.33,315.68,790.83,486.41,1365.43,340.69,980.99,746.08,884.24,806.79,594.74,971.68,456.91,103.04,747.41,476.63,790.46,539.93,930.85,625.32,840.55,1315.86,874.68,1651.91",[],4
79,22811.41,"816.71,611.45,579.25,522.56,187.0,351.85,486.61,509.09,1174.06,1198.03,1201.43,544.92,620.76,360.9,535.96,726.82,107.46,772.51,454.96,922.48,861.4,643.06,1005.34,605.91,186.45,446.31,634.42,469.74,1154.06,736.78",[],4
80,23787.53,"538.72,397.96,846.0,160.42,1046.17,1453.87,350.51,759.31,1044.01,1130.16,1397.45,778.72,499.86,539.1,411.41,129.14,393.02,457.4,786.28,726.5,1305.38,628.7,599.8,839.06,292.11,373.48,460.84,431.56,762.72,840.55",[],4
81,23991.35,"1026.94,255.53,965.27,363.68,1229.33,629.71,109.13,359.03,1313.72,449.84,1009.76,221.58,315.89,117.74,602.32,1621.67,742.35,231.77,1608.68,182.37,350.57,555.47,1025.26,481.77,818.22,882.17,1512.2,875.71,539.39,1179.7",[],6
82,23069.36,"668.57,351.82,762.87,512.54,883.33,655.44,250.08,971.84,1264.28,1091.09,1182.07,175.11,574.18,356.96,608.63,631.31,245.53,699.13,842.49,313.4,730.96,654.65,1519.59,283.05,439.34,1512.53,183.07,220.36,413.05,330.28",[],5
